Ingenuity Canonical Pathways,nlogp,Ratio,z-score,combined,Molecules
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,0,0.0512,0.905,0,"CD34,COL1A2,HLA-B,ICAM1,ICAM5,IFITM1,NECTIN2,NPDC1,PVR,SELL,ULBP3"
PI3K Cascade,0,0.0909,1,0,"FGF5,GAB2,PIK3R1,TRIB3"
Neurotransmitter release cycle,0,0.1,1,0,"LIN7B,STXBP1,SYT1,VAMP2"
E3 ubiquitin ligases ubiquitinate target proteins,0,0.0714,1,0,"HLA-B,HLTF,RNF152,RNF20"
Kinesins,0,0.0645,1,0,"KIF27,KLC3,KLC4,TUBA1A"
M-decay: degradation of maternal mRNAs by maternally stored factors,0,0.087,1,0,"AGO2,CNOT11,ELL2,TET2"
Complex IV assembly,0,0.0833,1,0,"COQ10B,COX19,COX7B,PET117"
Potassium Channels,0,0.068,1.134,0,"GNB1,GNG11,KCNAB2,KCNC4,KCNJ14,KCNK2,KCNK6"
p70S6K Signaling,0,0.0361,1.147,0,"AKT1,EEF2,EGFR,GNAI1,MAP2K1,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PLCD3,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PRKCD,PRKCI,RAP1A,RASD1,RRAS,SOS1"
Fc epsilon receptor (FCERI) signaling,0,0.107,1.155,0,"AHCYL1,CDC34,FYN,GAB2,MALT1,MAP2K7,MAP3K1,NFKBIA,PAK1,PIK3R1,PPP3CA,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,RELA,SOS1,UBE2V1"
B Cell Receptor Signaling,0,0.058,1.219,0,"AKT1,BCL6,CREB3L2,EGR1,ETS1,GAB2,IKBKE,INPP5F,INPP5K,INPPL1,MALT1,MAP2K1,MAP2K6,MAP2K7,MAP3K1,MAP3K10,MAP3K14,MAP3K4,MAP3K9,MAPK13,NFKB2,NFKBIA,PAG1,PIK3C2B,PIK3R1,PIK3R3,PPP3CA,PPP3CC,PTK2,RAP1A,RASD1,RELA,RELB,RRAS,SOS1,SYNJ1,TCF3"
T Cell Receptor Signaling,0,0.0514,1.257,0,"AKT1,CBL,CHP1,CTNNB1,DUSP5,FYN,HLA-B,ICAM1,IKBKE,LEF1,MALT1,MAP2K1,MAP2K6,MAP2K7,MAP3K1,MAPK13,NFKB2,NFKBIA,PAG1,PIK3C2B,PIK3R1,PIK3R3,PPP3CA,PPP3CC,RAP1A,RASD1,RELA,RELB,RRAS,SHC3,SOS1,TCF3"
TEC Kinase Signaling,0,0.0588,1.279,0,"FRK,FYN,GNAI1,GNB1,GNG11,ITGAE,ITGB3,ITGB6,ITGB8,JAK3,NFKB2,PAK1,PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,PTK2,RELA,RELB,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,STAT5A,STAT5B,STAT6,TLR4,TNFRSF21,TNFRSF25,TNFSF12,YES1"
Translocation of SLC2A4 (GLUT4) to the plasma membrane,0,0.111,1.414,0,"AKT1,C2CD5,EXOC2,MYO1C,PRKAB2,TBC1D1,TUBA1A,VAMP2"
Calcium-induced T Lymphocyte Apoptosis,0,0.0194,1.414,0,"ATP2A1,CHP1,HDAC1,HLA-B,NR4A1,PPP3CA,PPP3CC,PRKCD,PRKCI"
SAPK/JNK Signaling,0,0.0398,1.414,0,"GADD45A,GNB1,GNG11,MAP2K7,MAP3K1,MAP3K10,MAP3K20,MAP3K4,MAP3K9,MAPK8IP3,MINK1,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RRAS,SOS1,TP53,TRAF2"
Synaptic Long Term Depression,0,0.111,1.5,0,"CACNA1F,CACNA2D2,CACNG7,CATSPER3,GAD1,GNAI1,MAP2K1,PLAAT4,PLAAT5,PLCB3,PLCD3,PNPLA2,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PRKCD,PRKCI,RAP1A,RASD1,RRAS"
T Cell Exhaustion Signaling Pathway,0,0.037,1.5,0,"ACVR2B,AKT1,BCL6,CD274,HLA-B,IFNAR1,JAK3,KDR,PIK3C2B,PIK3R1,PIK3R3,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,RAP1A,RASD1,RRAS,TGFB1,TGFBR3"
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes,0,0.045,1.528,0,"CHP1,FYN,IKBKE,MALT1,MAP2K1,MAP2K7,MAP3K1,NFKB2,NFKBIA,PABPC4,PPP3CA,PPP3CC,RAP1A,RASD1,RELA,RELB,RRAS,SMAD4,SOS1,TGFB1,TGFB3"
Deadenylation-dependent mRNA decay,0,0.107,1.633,0,"CNOT11,DCP1A,EXOSC7,HBS1L,LSM3,PAN2"
G Protein Signaling Mediated by Tubby,0,0.0128,1.633,0,"GNAI1,GNB1,GNG11,MYC,NAMPT,PLCB3"
Ribosomal Quality Control Signaling Pathway,0,0.11,1.671,0,"AGO2,AGO4,ANKZF1,DIS3L,EXOSC7,GTPBP2,HBS1L,MT-RNR2,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,RACK1,RPL13A,RPL14,RPL18A,RPL28,RPL3,RPL39L,RPL4,RPL5,RPS16,RPS19,TCF25,UFD1"
Role of NFAT in Regulation of the Immune Response,0,0.0248,1.789,0,"AKT1,CHP1,CSNK1D,CSNK1E,FYN,GNAI1,GNB1,GNG11,HLA-B,IKBKE,KPNA3,MAP2K1,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PPP3CA,PPP3CC,RAP1A,RASD1,RELA,RELB,RRAS,SOS1"
Amyloid fiber formation,0,0.0795,1.89,0,"APOE,GGA1,GGA3,GSN,H2AC6,SIAH2,SNCAIP"
Th17 Activation Pathway,0,0.0163,1.89,0,"HSP90B1,IL1B,IRAK2,JAK3,NFKB2,PTGER4,RELA,RELB"
CCR5 Signaling in Macrophages,0,0.02,2,0,"CACNA1F,CACNA2D2,CACNG7,CATSPER3,GNAI1,GNB1,GNG11,MAPK13,PRKCD,PRKCI"
IL-15 Signaling,0,0.0342,2,0,"AKT1,IL15RA,JAK3,MAP2K1,MAPK13,MYC,NFKB2,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RELA,RELB,RRAS,STAT5A,STAT5B,STAT6"
SRP-dependent cotranslational protein targeting to membrane,0,0.0986,2.138,0,"MT-RNR2,RPL13A,RPL14,RPL18A,RPL28,RPL3,RPL39L,RPL4,RPL5,RPS16,RPS19,SEC61A2,SPCS2,SRP19"
OX40 Signaling Pathway,0,0.0145,2.236,0,"HLA-B,NFKB2,NFKBIA,RELA,RELB,TRAF2,TRAF3"
Phospholipase C Signaling,0,0.0409,2.694,0,"ADCY6,ADCY7,ARHGEF1,ARHGEF2,ARHGEF3,CAMK4,CHP1,CREB3L2,FYN,GNB1,GNG11,HDAC1,HDAC5,HDAC7,HDAC9,ITGAE,ITGB3,ITGB6,ITGB8,MAP2K1,MARCKS,MYL12A,MYL12B,NFKB2,PLCB3,PLCD3,PLD2,PLD3,PPP3CA,PPP3CC,PRKCD,PRKCI,RALGDS,RAP1A,RAPGEF3,RASD1,RELA,RELB,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,RRAS,SOS1"
Eukaryotic Translation Termination,0,0.0902,3.317,0,"MT-RNR2,RPL13A,RPL14,RPL18A,RPL28,RPL3,RPL39L,RPL4,RPL5,RPS16,RPS19"
Eukaryotic Translation Elongation,0,0.0984,3.464,0,"EEF2,MT-RNR2,RPL13A,RPL14,RPL18A,RPL28,RPL3,RPL39L,RPL4,RPL5,RPS16,RPS19"
Selenoamino acid metabolism,0,0.11,3.5,0,"KARS1,LARS1,MT-RNR2,RPL13A,RPL14,RPL18A,RPL28,RPL3,RPL39L,RPL4,RPL5,RPS16,RPS19,SARS1,SEPHS2,TXNRD1"
Phagosome Formation,0.441,0.116,0.114,0.050274,"ACKR3,ADGRD1,ADGRF4,ADGRG6,ADGRV1,ADORA2B,ADRA1B,ADRB2,AKT1,AP1S1,ARPC4,CCR3,CCRL2,CD14,CELSR3,FFAR4,FPR1,FRK,FYN,FZD1,FZD2,FZD5,GAB2,GIPR,GPER1,GPR132,GPR17,GPR176,GPR180,GPR39,GPR78,HCAR1,ITGAE,ITGB3,ITGB6,ITGB8,LGR5,MALT1,MAP2K1,MAP2K6,MAP2K7,MAPK7,MARCKS,MRC2,MYL12A,MYL12B,MYO10,MYO18A,NPY1R,P2RY11,P2RY2,PAK1,PIK3C2B,PIK3R1,PIK3R3,PLAAT4,PLAAT5,PLD2,PLD3,PNPLA2,PRKCD,PRKCI,PTGER4,PTGFR,PTK2,RAP1A,RAPGEF3,RASD1,RRAS,S1PR2,SOS1,SPHK1,SPHK2,SSTR2,TLN1,TLR1,TLR3,TLR4,TLR6,TLR7,WIPF1,YES1"
Cell surface interactions at the vascular wall,0.363,0.117,0.2,0.0726,"ANGPT1,ATP1B1,ATP1B3,CAV1,COL1A2,F11R,FYN,GAS6,GPC1,GRB7,ITGB3,MMP1,PIK3R1,PPIA,PSG8,SDC2,SDC3,SELL,SELPLG,SLC7A6,SOS1,TGFB1,THBD,TNFRSF10D,YES1"
G-Protein Coupled Receptor Signaling,1.03,0.128,0.107,0.11021,"ACKR3,ADCY6,ADCY7,ADGRD1,ADGRF4,ADGRG6,ADGRV1,ADORA2B,ADRA1B,ADRB2,AKT1,ARRB1,BRAF,CAMK4,CCND1,CCR3,CCRL2,CELSR3,CHP1,CREB3L2,CTNNB1,FFAR4,FPR1,FYN,FZD1,FZD2,FZD5,GDE1,GIPR,GNAI1,GNB1,GNG11,GPER1,GPR132,GPR17,GPR176,GPR180,GPR39,GPR78,GRK2,GRK3,HCAR1,IKBKE,LGR5,MAP2K1,MAP2K6,MAP2K7,MAP3K1,MAP3K10,MAP3K14,MAP3K4,MAP3K9,MAPK13,MAPK7,MYL12A,MYL12B,NFKB2,NFKBIA,NPY1R,P2RY11,P2RY2,PAK1,PDE10A,PDE2A,PDE4A,PDE4B,PDE7B,PDE8B,PDE9A,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PPP3CA,PPP3CC,PRKACB,PTGER4,PTGFR,PTK2,RAP1A,RAPGEF3,RASD1,RELA,RELB,RRAS,S1PR2,SHC3,SIX4,SOS1,SRF,SSTR2"
Glutathione-mediated Detoxification,0.293,0.118,0.447,0.130971,"ANPEP,GGH,GSTO1,MGST1,MGST2,PTGES"
Phospholipases,0.308,0.118,0.447,0.137676,"PLA2G15,PLAAT4,PLAAT5,PLCB3,PLCD3,PLD2,PLD3,PNPLA2"
SNARE Signaling Pathway,0.708,0.138,0.229,0.162132,"ADCY6,ADCY7,BET1L,CACNA2D2,MYO10,MYO18A,NAPA,PRKACB,RAB9B,SNCG,STX16,STXBP1,STXBP4,STXBP5,SYT1,SYT11,SYT7,VAMP2,VTI1A"
Nucleotide Excision Repair,0.637,0.138,0.258,0.164346,"COPS4,ELL,ERCC2,MNAT1,POLD4,POLE2,POLK,POLR2C,POLR2L,RFC2,RFC3,RPA3,SUMO3,XAB2,XRCC1"
3-phosphoinositide Biosynthesis,0.354,0.116,0.471,0.166734,"ATP1A1,DUSP12,DUSP2,DUSP5,INPP5F,INPPL1,PIK3C2B,PIK3R1,PIK3R3,PPP2R1B,PPP2R2A,PPP2R5A,PPP2R5D,PPP3CA,PPP3CC,PPP4C,PPP4R1,PTPN1,PTPN2,PTPN3,PTPRB,PTPRF,PTPRM,SSH1,SYNJ1"
Mitochondrial protein import,0.527,0.138,0.333,0.175491,"CHCHD7,COA6,COX19,CYC1,MTX2,SLC25A13,TIMM10,TIMM13,TIMM44"
eNOS Signaling,0.735,0.137,0.243,0.178605,"ADCY6,ADCY7,AKT1,AQP1,AQP3,AQP6,CASP3,CASP8,CAV1,CHRNE,ESR2,HSP90B1,HSPA5,KDR,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PRKAB2,PRKACB,PRKCD,PRKCI"
Mitochondrial Fatty Acid Beta-Oxidation,0.402,0.135,0.447,0.179694,"ACADVL,ACOT11,DBI,MCEE,PCCA"
FGF Signaling,0.606,0.14,0.302,0.183012,"AKT1,CREB3L2,FGF5,MAP2K1,MAP2K6,MAP3K1,MAPK13,MAPKAPK2,PIK3C2B,PIK3R1,PIK3R3,SOS1"
Crosstalk between Dendritic Cells and Natural Killer Cells,0.269,0.112,0.707,0.190183,"HLA-B,IL15RA,NECTIN2,NFKB2,RELA,RELB,TLN1,TLR3,TLR4,TLR7,TNFRSF1B"
Triacylglycerol Degradation,0.576,0.143,0.378,0.217728,"AARS1,ABHD12,ABHD6,LARS1,MGLL,NDST1,NDST3,PNPLA2,TARS2"
mRNA 3 Prime End Processing Signaling Pathway,0.793,0.147,0.277,0.219661,"CNOT11,CPSF4,CSTF2T,DIS3L,E2F3,E2F6,E2F7,EXOSC7,MYC,NGF,PCBP3,RBM3,SRRM1,SRSF3,SYMPK"
Signaling by Retinoic Acid,0.605,0.152,0.378,0.22869,"AKR1C3,DHRS3,DHRS9,FABP5,PDK2,PPARD,RDH16"
Melanocyte Development and Pigmentation Signaling,0.372,0.121,0.632,0.235104,"ADCY6,ADCY7,CREB3L2,MAP2K1,PIK3C2B,PIK3R1,PIK3R3,PRKACB,RAP1A,RASD1,RRAS,SOS1"
Breast Cancer Regulation by Stathmin1,0.664,0.122,0.361,0.239704,"ACKR3,ADGRD1,ADGRF4,ADGRG6,ADGRV1,ADORA2B,ADRA1B,ADRB2,ARHGEF1,ARHGEF2,ARHGEF3,AURKC,CAMK4,CCND1,CCND3,CCR3,CCRL2,CDK4,CELSR3,CREB3L2,E2F3,E2F6,E2F7,FFAR4,FPR1,FZD1,FZD2,FZD5,GIPR,GNB1,GNG11,GPER1,GPR132,GPR17,GPR176,GPR180,GPR39,GPR78,HCAR1,LGR5,MAP2K1,NFKB2,NPY1R,P2RY11,P2RY2,PAK1,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PPP2R1B,PPP2R2A,PPP2R5A,PPP2R5D,PPP4C,PRKACB,PRKCD,PRKCI,PTGER4,PTGFR,RAP1A,RASD1,RRAS,S1PR2,SHC3,SOS1,SPDEF,SSTR2,TGFB1,TP53,TSG101,TUBA1A,TUBG1"
PRC2 methylates histones and DNA,0.254,0.114,1,0.254,"H2AC6,JARID2,MTF2,RBBP4"
MSP-RON Signaling in Macrophages Pathway,0.444,0.125,0.577,0.256188,"CREB3L2,GAB2,IKBKE,KLK14,NFKB2,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RELA,RELB,RRAS,SOS1,TLR4"
Cytoprotection by HMOX1,0.326,0.121,0.816,0.266016,"BACH1,CARM1,COX7B,HELZ2,PPARA,PTK6,TXNIP"
Oxidative Stress Induced Senescence,0.964,0.159,0.277,0.267028,"AGO4,CDK4,E2F3,H2AC6,KDM6B,MAP2K6,MAP2K7,MAPKAPK2,MAPKAPK5,MINK1,RBBP4,TFDP1,TNIK,TP53"
EPH-Ephrin signaling,1.04,0.161,0.258,0.26832,"AP2A1,AP2M1,ARPC4,EFNB2,EPHA4,EPHB4,FYN,GIT1,KALRN,MYL12A,MYL12B,PAK1,PTK2,SDC2,YES1"
Atherosclerosis Signaling,1.11,0.154,0.243,0.26973,"APOE,APOL1,CCL2,CCR3,COL1A2,ICAM1,IL1A,IL1B,MMP1,NFKB2,PCYOX1,PDGFA,PDGFC,PLAAT4,PLAAT5,PNPLA2,RELA,RELB,SELPLG,TGFB1,TNFSF12"
NoRC negatively regulates rRNA expression,0.914,0.164,0.302,0.276028,"ERCC2,H2AC6,HDAC1,MNAT1,POLR1A,POLR1D,POLR2L,SAP30,SAP30L,TAF1D,TBP"
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells,0.339,0.118,0.832,0.282048,"ADCY6,ADCY7,CACNA1F,CACNA2D2,CACNG7,CATSPER3,FFAR4,GNAI1,GNG11,PLCB3,PLCD3,PRKACB,PRKCD,PRKCI"
Signal amplification,0.293,0.121,1,0.293,"AAMP,GNAI1,GNB1,GNG11"
Processing of Capped Intronless Pre-mRNA,0.665,0.172,0.447,0.297255,"CPSF4,CSTF2T,NCBP1,NCBP2,SYMPK"
Endothelin-1 Signaling,1.6,0.16,0.192,0.3072,"ADCY6,ADCY7,BRAF,CASP2,CASP3,CASP4,CASP6,CASP7,CASP8,EDN1,GNAI1,MAPK13,MAPK7,MYC,PIK3C2B,PIK3R1,PIK3R3,PLAAT4,PLAAT5,PLCB3,PLCD3,PLD2,PLD3,PNPLA2,PRKCD,PRKCI,RAP1A,RASD1,RRAS,SHC3,SOS1"
GABA receptor activation,0.293,0.117,1.134,0.332262,"ADCY6,ADCY7,GABRR2,GNAI1,GNB1,GNG11,NPTN"
PCP (Planar Cell Polarity) Pathway,0.293,0.117,1.134,0.332262,"DVL1,DVL3,FZD1,FZD2,FZD5,JUNB,WNT2B"
Irritable Bowel Syndrome Signaling Pathway,0.682,0.128,0.493,0.336226,"BIRC2,CCL2,IL1A,IL1B,IL1RAPL1,LAMB1,MLKL,MMP1,MMP10,MMP16,MYL12A,MYL12B,NFKB2,PIK3C2B,PIK3R1,PIK3R3,RBCK1,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,SLC22A4,TGFB1,TGFB3,TLR1,TLR3,TLR4,TLR6,TLR7,TNFRSF25,TNFSF12,TNFSF15,TNFSF9,TRAF2,WNT2B"
COPII-mediated vesicle transport,1.23,0.178,0.277,0.34071,"AREG,BET1,CNIH1,CNIH3,CSNK1D,F8,FOLR1,GOLGA2,GORASP1,LMAN1,NAPA,PPP6C,SEC24C"
Assembly and cell surface presentation of NMDA receptors,0.258,0.114,1.342,0.346236,"DLG1,DLG4,GRIN2D,LIN7B,TUBA1A"
Senescence-Associated Secretory Phenotype (SASP),0.353,0.122,1,0.353,"ANAPC1,ANAPC11,ANAPC4,CDK4,CDKN1A,H2AC6,IL1A,MAPK7,RELA"
Respiratory electron transport,0.28,0.114,1.265,0.3542,"COQ10B,COX7B,CYC1,ETFB,ETFDH,NDUFA10,NDUFC2,SDHA,TRAP1,UQCRB"
DAP12 interactions,0.275,0.116,1.342,0.36905,"FYN,HLA-B,PIK3R1,SIGLEC15,SOS1"
Cellular Effects of Sildenafil (Viagra),0.463,0.117,0.798,0.369474,"ACKR3,ACVR2B,ADCY6,ADCY7,ADGRD1,ADGRF4,ADGRG6,ADGRV1,ADORA2B,ADRA1B,ADRB2,AKT1,ATP2A1,CACNA1F,CACNA2D2,CACNG7,CAPN10,CAPNS1,CASP3,CASP8,CCR3,CCRL2,CELSR3,CHP1,CREB3L2,FFAR4,FPR1,FZD1,FZD2,FZD5,GIPR,GNAI1,GNB1,GNG11,GPER1,GPR132,GPR17,GPR176,GPR180,GPR39,GPR78,HCAR1,HSP90B1,LGR5,MAP2K6,MAP2K7,MAPK13,MAPK7,MYL12A,MYL12B,MYO10,MYO18A,NFKB2,NFKBIA,NPY1R,P2RY11,P2RY2,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PPARG,PPARGC1A,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PPP3CA,PPP3CC,PRKAB2,PRKACB,PTGER4,PTGFR,S1PR2,SLC9A1,SSTR2,TGFB1,TGFB3,TGFBR3"
Activation of IRF by Cytosolic Pattern Recognition Receptors,1.23,0.182,0.302,0.37146,"IFIH1,IFIT2,IFNAR1,IKBKE,IRF3,ISG15,NFKB2,NFKBIA,RELA,RELB,SIKE1,TRAF3"
PI Metabolism,0.652,0.143,0.577,0.376204,"GDE1,INPP5E,INPP5F,INPP5K,INPPL1,MTMR3,PIK3C2B,PIK3R1,PIK3R3,PLEKHA8,SBF2,SYNJ1"
TP53 Regulates Transcription of DNA Repair Genes,1.36,0.186,0.277,0.37672,"AP1S1,CCNT2,ELL,ERCC2,FANCC,MLH1,MNAT1,MSH2,NELFA,NELFB,POLR2C,POLR2L,TP53"
Superpathway of Inositol Phosphate Compounds,0.65,0.129,0.6,0.39,"ATP1A1,DUSP12,DUSP2,DUSP5,INPP5E,INPP5F,INPP5K,INPPL1,ITPKC,PIK3C2B,PIK3R1,PIK3R3,PIP4P2,PLCB3,PLCD3,PPP2R1B,PPP2R2A,PPP2R5A,PPP2R5D,PPP3CA,PPP3CC,PPP4C,PPP4R1,PTPN1,PTPN2,PTPN3,PTPRB,PTPRF,PTPRM,SSH1,SYNJ1"
GPER1 signaling,1.73,0.184,0.229,0.39617,"ADCY6,ADCY7,GNAI1,GNB1,GNG11,GPER1,NME1,NME7,PIK3C2B,PIK3R1,PIK3R3,PRKACB,SPHK1,SPHK2,SRPK3,STK10,STK3,STK32C,STK39"
cAMP-mediated signaling,1.05,0.141,0.378,0.3969,"ADCY6,ADCY7,ADORA2B,ADRB2,AKAP11,AKAP12,AKAP6,BRAF,CAMK4,CREB3L2,FPR1,GDE1,GNAI1,GPER1,GPR17,GRK2,LAMTOR3,MAP2K1,NPY1R,PALM2AKAP2,PDE10A,PDE2A,PDE4A,PDE4B,PDE7B,PDE8B,PDE9A,PKIB,PPP3CA,PPP3CC,PRKACB,PTGER4,RAP1A,RAPGEF3"
Pyrimidine Ribonucleotides Interconversion,1.05,0.19,0.378,0.3969,"AK4,CTPS2,DHX9,ENTPD3,NME1,NME7,NUDT18,SLC25A42"
CCR3 Signaling in Eosinophils,0.348,0.118,1.155,0.40194,"CCR3,GNAI1,GNB1,GNG11,MAP2K1,MAPK13,PAK1,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PRKCD,PRKCI,RAP1A,RASD1,RRAS"
Sonic Hedgehog Signaling,0.906,0.194,0.447,0.404982,"CCNB3,GLI1,GRK2,PRKACB,SHH,ZNF875"
Sensory processing of sound by outer hair cells of the cochlea,0.574,0.145,0.707,0.405818,"EPB41L3,GSN,MPP1,MSN,MYO1C,SPTBN1,TPRN,WHRN"
Macroautophagy,1.49,0.194,0.277,0.41273,"ATG4A,BECN1,CHMP3,LAMTOR3,MAP1LC3C,MTMR3,PRKAB2,RRAGC,SLC38A9,ULK1,UVRAG,WDR45B,WIPI1"
Signaling by FGFR4,0.312,0.122,1.342,0.418704,"BRAF,CBL,PIK3R1,SOS1,SPRY2"
Triacylglycerol Biosynthesis,1.27,0.19,0.333,0.42291,"AGPAT3,DGAT2,LIPT2,LPCAT2,LPIN1,MBOAT2,PLPP4,PLPP5,PORCN,SIRT4,TMEM68"
Cardiac conduction,0.424,0.123,1,0.424,"AHCYL1,ATP1A1,ATP1B1,ATP1B3,ATP2A1,ATP2B4,CACNA2D2,CACNG7,CLIC2,DMPK,HIPK2,KAT2B,KCNJ14,KCNK2,KCNK6,SCN2A"
Fcgamma receptor (FCGR) dependent phagocytosis,0.332,0.116,1.291,0.428612,"ABI2,AHCYL1,ARPC4,FRK,FYN,MYO10,MYO1C,MYO9B,NCKAP1,NF2,PAK1,PIK3R1,PLD2,PLD3,PLPP4,PLPP5,PRKCD,WIPF1,YES1"
Gα12/13 Signaling,1.89,0.179,0.229,0.43281,"AKT1,ARHGEF1,CDH11,CDH20,CDH24,CTNNB1,IKBKE,MAP2K1,MAP2K7,MAP3K1,MAPK7,MYL12A,MYL12B,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,PTK2,RAP1A,RASD1,RELA,RELB,RRAS"
D-myo-inositol-5-phosphate Metabolism,0.471,0.123,0.943,0.444153,"ATP1A1,DUSP12,DUSP2,DUSP5,INPP5F,INPPL1,PIP4P2,PLCB3,PLCD3,PPP2R1B,PPP2R2A,PPP2R5A,PPP2R5D,PPP3CA,PPP3CC,PPP4C,PPP4R1,PTPN1,PTPN2,PTPN3,PTPRB,PTPRF,PTPRM,SSH1,SYNJ1"
Melatonin Signaling,0.703,0.149,0.632,0.444296,"BRAF,GNAI1,MAP2K1,MAP2K6,MAP2K7,PLCB3,PLCD3,PRKACB,PRKCD,PRKCI,RORB"
"D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis",0.348,0.116,1.291,0.449268,"ATP1A1,DUSP12,DUSP2,DUSP5,INPP5F,INPPL1,PPP2R1B,PPP2R2A,PPP2R5A,PPP2R5D,PPP3CA,PPP3CC,PPP4C,PPP4R1,PTPN1,PTPN2,PTPN3,PTPRB,PTPRF,PTPRM,SSH1,SYNJ1"
"D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis",0.348,0.116,1.291,0.449268,"ATP1A1,DUSP12,DUSP2,DUSP5,INPP5F,INPPL1,PPP2R1B,PPP2R2A,PPP2R5A,PPP2R5D,PPP3CA,PPP3CC,PPP4C,PPP4R1,PTPN1,PTPN2,PTPN3,PTPRB,PTPRF,PTPRM,SSH1,SYNJ1"
PFKFB4 Signaling Pathway,1.38,0.204,0.333,0.45954,"CREB3L2,MAP2K1,MAP2K6,MAP2K7,PRKACB,TGFB1,TGFB3,TKT,TP53,XDH"
B-WICH complex positively regulates rRNA expression,0.661,0.154,0.707,0.467327,"H2AC6,KAT2B,MYO1C,POLR1A,POLR1D,POLR2L,TAF1D,TBP"
TREM1 Signaling,1.57,0.19,0.302,0.47414,"AKT1,CCL2,ICAM1,IL1B,NFKB2,NLRP1,RELA,RELB,STAT5A,STAT5B,TLR1,TLR3,TLR4,TLR6,TLR7"
Deubiquitination,3.31,0.181,0.146,0.48326,"ABRAXAS1,ADRB2,APC,ARRB1,AXIN1,AXIN2,BECN1,BIRC2,BRCC3,CLSPN,FOXK1,GATA3,H2AC6,HGS,IDE,IFIH1,KAT2B,KEAP1,MUL1,MYC,MYSM1,NFKBIA,POLB,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,RHOT1,RIPK2,SIAH2,SMAD4,SMURF2,STAMBP,TGFB1,TP53,TRAF2,TRAF3,UCHL5,UFD1,USP18,USP20,USP21,USP25,ZRANB1"
HOTAIR Regulatory Pathway,2.6,0.188,0.186,0.4836,"AGO2,AGO4,AKT1,CDKN1A,COL1A2,CTNNB1,ESR2,HDAC1,ICAM1,JARID2,LEF1,MMP1,MMP10,MMP16,MTF2,MYC,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,RBBP4,RELA,RELB,RHOC,SNAI2,SRF,TCF3,TGFB1,TLR4,WNT2B"
Signaling by Erythropoietin,0.484,0.154,1,0.484,"PIK3R1,SOS1,STAT5A,STAT5B"
Transcriptional and post-translational regulation of MITF-M expression and activity,0.692,0.157,0.707,0.489244,"CTNNB1,EDN1,HDAC1,KARS1,LARS1,LEF1,SNAI2,SOX9"
Oxytocin in Spinal Neurons Signaling Pathway,0.254,0.114,2,0.508,"CAMKK1,CAMKK2,GAD1,PLCB3"
Signaling by TGFBR3,1.7,0.22,0.302,0.5134,"AGO2,AGO4,ARRB1,HELLS,MMP16,SMAD4,TCF3,TGFB1,TGFBR3,TIMP1,TIMP2"
Cardiac β-adrenergic Signaling,2.13,0.176,0.243,0.51759,"ADCY6,ADCY7,AKAP11,AKAP12,AKAP6,ATP2A1,CACNA1F,CACNA2D2,CACNG7,GDE1,GNAI1,GNB1,GNG11,GRK2,GRK3,PALM2AKAP2,PDE10A,PDE2A,PDE4A,PDE4B,PDE7B,PDE8B,PDE9A,PKIB,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PRKACB"
Complex III assembly,0.52,0.16,1,0.52,"CYC1,NFS1,UQCC1,UQCRB"
Transcriptional regulation of granulopoiesis,0.469,0.137,1.134,0.531846,"CDK4,CDKN1A,GATA2,H2AC6,LEF1,MYC,TFDP1"
